Index;What are your main reasons for drinking coffee? 
9;Energy / stimulation
15;Energy / stimulation
17;Energy / stimulation
23;Energy / stimulation
24;Energy / stimulation
25;Energy / stimulation
30;Energy / stimulation
40;Energy / stimulation
45;Energy / stimulation
49;Energy / stimulation
55;Energy / stimulation
59;Energy / stimulation
60;Energy / stimulation
61;Energy / stimulation
73;Energy / stimulation
79;Energy / stimulation
82;Energy / stimulation
85;Energy / stimulation
86;Energy / stimulation
89;Energy / stimulation
90;Energy / stimulation
94;Energy / stimulation
98;Energy / stimulation
100;Energy / stimulation
101;Energy / stimulation
103;Energy / stimulation
104;Energy / stimulation
106;Energy / stimulation
109;Energy / stimulation
111;Energy / stimulation
112;Energy / stimulation
118;Energy / stimulation
120;Energy / stimulation
130;Energy / stimulation
132;Energy / stimulation
134;Energy / stimulation
136;Energy / stimulation
139;Energy / stimulation
143;Energy / stimulation
146;Energy / stimulation
147;Energy / stimulation
148;Energy / stimulation
149;Energy / stimulation
152;Energy / stimulation
154;Energy / stimulation
159;Energy / stimulation
161;Energy / stimulation
164;Energy / stimulation
165;Energy / stimulation
168;Energy / stimulation
169;Energy / stimulation
170;Energy / stimulation
171;Energy / stimulation
172;Energy / stimulation
180;Energy / stimulation
182;Energy / stimulation
185;Energy / stimulation
188;Energy / stimulation
196;Energy / stimulation
202;Energy / stimulation
203;Energy / stimulation
207;Energy / stimulation
211;Energy / stimulation
213;Energy / stimulation
214;Energy / stimulation
222;Energy / stimulation
225;Energy / stimulation
228;Energy / stimulation
230;Energy / stimulation
235;Energy / stimulation
240;Energy / stimulation
247;Energy / stimulation
251;Energy / stimulation
254;Energy / stimulation
255;Energy / stimulation
275;Energy / stimulation
276;Energy / stimulation
282;Energy / stimulation
284;Energy / stimulation
287;Energy / stimulation
288;Energy / stimulation
291;Energy / stimulation
292;Energy / stimulation
303;Energy / stimulation
304;Energy / stimulation
308;Energy / stimulation
318;Energy / stimulation
319;Energy / stimulation
14;Taste and enjoyment
15;Taste and enjoyment
16;Taste and enjoyment
18;Taste and enjoyment
19;Taste and enjoyment
27;Taste and enjoyment
28;Taste and enjoyment
32;Taste and enjoyment
41;Taste and enjoyment
43;Taste and enjoyment
45;Taste and enjoyment
47;Taste and enjoyment
48;Taste and enjoyment
50;Taste and enjoyment
59;Taste and enjoyment
62;Taste and enjoyment
64;Taste and enjoyment
65;Taste and enjoyment
66;Taste and enjoyment
67;Taste and enjoyment
69;Taste and enjoyment
80;Taste and enjoyment
85;Taste and enjoyment
86;Taste and enjoyment
90;Taste and enjoyment
91;Taste and enjoyment
94;Taste and enjoyment
96;Taste and enjoyment
99;Taste and enjoyment
102;Taste and enjoyment
107;Taste and enjoyment
109;Taste and enjoyment
111;Taste and enjoyment
112;Taste and enjoyment
115;Taste and enjoyment
129;Taste and enjoyment
131;Taste and enjoyment
143;Taste and enjoyment
144;Taste and enjoyment
145;Taste and enjoyment
146;Taste and enjoyment
148;Taste and enjoyment
149;Taste and enjoyment
150;Taste and enjoyment
152;Taste and enjoyment
153;Taste and enjoyment
164;Taste and enjoyment
171;Taste and enjoyment
173;Taste and enjoyment
180;Taste and enjoyment
182;Taste and enjoyment
189;Taste and enjoyment
206;Taste and enjoyment
209;Taste and enjoyment
211;Taste and enjoyment
214;Taste and enjoyment
217;Taste and enjoyment
219;Taste and enjoyment
221;Taste and enjoyment
223;Taste and enjoyment
228;Taste and enjoyment
234;Taste and enjoyment
235;Taste and enjoyment
239;Taste and enjoyment
244;Taste and enjoyment
245;Taste and enjoyment
247;Taste and enjoyment
255;Taste and enjoyment
259;Taste and enjoyment
263;Taste and enjoyment
264;Taste and enjoyment
270;Taste and enjoyment
278;Taste and enjoyment
282;Taste and enjoyment
285;Taste and enjoyment
286;Taste and enjoyment
289;Taste and enjoyment
291;Taste and enjoyment
295;Taste and enjoyment
296;Taste and enjoyment
298;Taste and enjoyment
300;Taste and enjoyment
302;Taste and enjoyment
307;Taste and enjoyment
312;Taste and enjoyment
317;Taste and enjoyment
321;Taste and enjoyment
324;Taste and enjoyment
1;Routine / habit
5;Routine / habit
7;Routine / habit
15;Routine / habit
17;Routine / habit
18;Routine / habit
19;Routine / habit
23;Routine / habit
28;Routine / habit
29;Routine / habit
30;Routine / habit
31;Routine / habit
32;Routine / habit
38;Routine / habit
40;Routine / habit
42;Routine / habit
43;Routine / habit
45;Routine / habit
46;Routine / habit
60;Routine / habit
64;Routine / habit
66;Routine / habit
67;Routine / habit
69;Routine / habit
72;Routine / habit
73;Routine / habit
78;Routine / habit
79;Routine / habit
80;Routine / habit
83;Routine / habit
84;Routine / habit
97;Routine / habit
99;Routine / habit
106;Routine / habit
110;Routine / habit
120;Routine / habit
123;Routine / habit
124;Routine / habit
126;Routine / habit
130;Routine / habit
133;Routine / habit
134;Routine / habit
139;Routine / habit
142;Routine / habit
147;Routine / habit
149;Routine / habit
150;Routine / habit
152;Routine / habit
159;Routine / habit
161;Routine / habit
162;Routine / habit
168;Routine / habit
171;Routine / habit
174;Routine / habit
181;Routine / habit
185;Routine / habit
186;Routine / habit
195;Routine / habit
201;Routine / habit
217;Routine / habit
226;Routine / habit
228;Routine / habit
230;Routine / habit
232;Routine / habit
234;Routine / habit
237;Routine / habit
239;Routine / habit
255;Routine / habit
256;Routine / habit
260;Routine / habit
264;Routine / habit
269;Routine / habit
278;Routine / habit
283;Routine / habit
284;Routine / habit
286;Routine / habit
289;Routine / habit
290;Routine / habit
292;Routine / habit
294;Routine / habit
301;Routine / habit
311;Routine / habit
312;Routine / habit
313;Routine / habit
317;Routine / habit
318;Routine / habit
323;Routine / habit
4;Concentration
5;Concentration
6;Social aspect
11;To warm up
16;Social aspect
17;To warm up
18;Social aspect
20;Concentration
20;Social aspect
21;Concentration
22;Relaxation
23;Concentration
24;Relaxation
27;Concentration
28;Relaxation
30;To warm up
33;Relaxation
37;Relaxation
42;Social aspect
43;Concentration
46;Relaxation
47;To warm up
48;Concentration
49;Social aspect
50;Relaxation
55;Concentration
57;Relaxation
58;Concentration
62;Social aspect
64;Social aspect
67;Relaxation
69;To warm up
72;Relaxation
78;Social aspect
83;To warm up
84;Concentration
90;Relaxation
97;Relaxation
98;Social aspect
101;Relaxation
102;To warm up
104;Social aspect
107;Relaxation
107;To warm up
115;Concentration
120;Concentration
124;Concentration
124;Relaxation
125;Social aspect
132;Concentration
133;Relaxation
136;Concentration
137;Relaxation
137;Social aspect
142;Concentration
144;Social aspect
145;Concentration
154;Social aspect
156;To warm up
157;Social aspect
163;Concentration
163;Relaxation
167;To warm up
174;Concentration
174;Relaxation
175;Concentration
176;Concentration
178;Relaxation
181;Relaxation
186;Relaxation
188;Concentration
190;Relaxation
191;Relaxation
191;Social aspect
194;Social aspect
195;Social aspect
201;Concentration
203;Relaxation
205;To warm up
207;Relaxation
208;Concentration
209;Concentration
209;Relaxation
210;Concentration
210;Relaxation
216;Relaxation
221;Concentration
224;Relaxation
225;Social aspect
230;Concentration
233;Concentration
234;Relaxation
238;Concentration
244;Relaxation
252;Concentration
252;Social aspect
254;Social aspect
256;Concentration
261;Concentration
285;Concentration
296;Relaxation
299;Concentration
302;Social aspect
303;Concentration
308;Concentration
310;Relaxation
311;Concentration
320;Concentration
